"n","m","k","PhiTime","RSpectraEigs","RSpectraTotal","rARPACK"
10,10000,10,NA,0.024921178817749,NA,0.0550777912139893
20,10000,10,NA,0.00124049186706543,NA,0.0396525859832764
50,10000,10,NA,0.0010230541229248,NA,0.103574275970459
100,10000,10,NA,0.00135302543640137,NA,0.239356517791748
200,10000,10,NA,0.00328278541564941,NA,0.948417186737061
500,10000,10,NA,0.013946533203125,NA,3.4629819393158
1000,10000,10,NA,0.0820245742797852,NA,9.30271458625793
2000,10000,10,NA,0.307815551757812,NA,18.6900150775909
5000,10000,10,NA,6.20990753173828,NA,121.299340963364
10000,10000,10,NA,41.6748073101044,NA,329.988021612167
20000,10000,10,7514.71082758904,177.562428474426,7692.27325606347,614.908270835876
50000,10000,10,NA,NA,NA,NA
